,Sensor No,Temp,Time
0,12,27.1776,2021-05-31 13:14:58
1,12,27.1776,2021-05-31 13:15:03
2,12,27.1776,2021-05-31 13:15:09
3,12,27.1776,2021-05-31 13:15:20
4,12,27.1776,2021-05-31 13:18:52
5,12,27.1776,2021-05-31 13:19:00
6,12,27.1776,2021-05-31 13:19:06
7,12,27.1776,2021-05-31 13:19:10
8,12,27.1776,2021-05-31 13:19:15
9,12,27.1776,2021-05-31 13:19:19
10,12,27.1776,2021-05-31 13:19:23
11,12,27.1776,2021-05-31 13:19:28
12,12,27.1776,2021-05-31 13:19:33
13,12,27.1776,2021-05-31 13:19:36
14,12,27.1776,2021-05-31 13:19:43
15,12,27.1776,2021-05-31 13:19:47
16,12,27.1776,2021-05-31 13:19:52
17,12,27.1776,2021-05-31 13:19:56
18,12,27.1776,2021-05-31 13:20:01
19,12,27.1776,2021-05-31 13:20:06
20,12,27.1776,2021-05-31 13:20:14
21,12,27.1776,2021-05-31 13:20:18
22,12,27.1776,2021-05-31 13:20:39
23,12,27.1776,2021-05-31 13:20:44
24,12,27.1776,2021-05-31 13:20:49
25,12,27.1776,2021-05-31 13:20:54
26,12,27.1776,2021-05-31 13:21:00
27,12,27.1776,2021-05-31 13:21:04
28,12,27.1776,2021-05-31 13:21:08
29,12,27.1776,2021-05-31 13:21:12
30,12,27.1776,2021-05-31 13:21:16
31,12,27.1776,2021-05-31 13:21:20
32,12,27.1776,2021-05-31 13:21:27
33,12,27.1776,2021-05-31 13:21:32
34,12,27.1776,2021-05-31 13:21:35
35,12,27.1776,2021-05-31 13:21:39
36,12,27.1776,2021-05-31 13:21:43
37,12,27.1776,2021-05-31 13:21:47
38,12,27.1776,2021-05-31 13:24:57
39,12,27.1776,2021-05-31 13:28:05
40,12,27.1776,2021-05-31 13:28:10
41,12,27.3455,2021-05-31 13:55:40
42,12,27.3455,2021-05-31 13:57:18
43,12,27.3455,2021-05-31 13:58:00
44,12,27.3455,2021-05-31 13:58:47
45,12,27.3455,2021-05-31 14:00:08
46,12,27.322,2021-05-31 14:12:02
47,12,27.322,2021-05-31 14:12:44
48,12,27.322,2021-05-31 14:13:19
49,12,27.322,2021-05-31 14:14:44
50,12,27.322,2021-05-31 14:15:30
51,12,27.322,2021-05-31 14:18:08
52,12,27.322,2021-05-31 14:19:42
53,12,27.322,2021-05-31 14:20:46
54,12,27.322,2021-05-31 14:21:08
55,12,27.322,2021-05-31 14:25:36
56,12,27.322,2021-05-31 14:27:35
57,12,27.322,2021-05-31 14:28:13
58,12,27.322,2021-05-31 14:28:49
59,12,27.322,2021-05-31 14:31:05
60,12,27.1712,2021-05-31 15:09:54
61,12,27.1712,2021-05-31 15:10:20
62,12,27.1712,2021-05-31 15:14:54
63,12,27.1712,2021-05-31 15:15:25
64,12,27.1712,2021-05-31 15:16:56
65,12,27.1712,2021-05-31 15:17:14
66,12,27.1712,2021-05-31 15:32:59
67,12,27.1712,2021-05-31 15:33:40
68,12,27.1712,2021-05-31 15:35:37
